District,Gender,Locality,Age ,Percentage,Economic Activity,District in Map
SAHIWAL DISTRICT,Male,Rural,60 - 64,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Rural,65 - 69,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Rural,70 - 74,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Rural,75 & ABOVE,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Rural,Between 10-14,77.51%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,10 & ABOVE,25.02%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,15 -  19,63.05%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,20 - 24,28.43%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,25 - 29,6.18%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,30 - 34,1.16%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,35 - 39,0.30%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,40 - 44,0.26%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,45 - 49,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,50 - 54,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,55 - 59,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,60 - 64,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,65 - 69,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,70 - 74,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,75 & ABOVE,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Male,Urban,Between 10-14,86.58%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,10 & ABOVE,3.76%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,15 -  19,21.05%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,20 - 24,6.45%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,25 - 29,3.57%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,30 - 34,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,35 - 39,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,40 - 44,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,45 - 49,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,50 - 54,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,55 - 59,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,60 - 64,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,65 - 69,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,70 - 74,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,75 & ABOVE,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,10 & ABOVE,10.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,15 -  19,66.67%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,20 - 24,25.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,25 - 29,9.09%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,30 - 34,14.29%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,35 - 39,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,40 - 44,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,45 - 49,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,50 - 54,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,55 - 59,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,60 - 64,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,65 - 69,#DIV/0!,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,70 - 74,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,75 & ABOVE,0.00%,Student,Sahiwal
SAHIWAL DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,Student,Sahiwal
SARGODHA DISTRICT,Female,Rural,10 & ABOVE,17.59%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,15 -  19,37.75%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,20 - 24,11.60%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,25 - 29,2.27%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,30 - 34,0.74%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,35 - 39,0.42%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,40 - 44,0.33%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,45 - 49,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,50 - 54,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,55 - 59,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,60 - 64,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,65 - 69,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,70 - 74,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,75 & ABOVE,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Rural,Between 10-14,73.56%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,10 & ABOVE,25.70%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,15 -  19,65.43%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,20 - 24,29.80%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,25 - 29,5.97%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,30 - 34,1.28%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,35 - 39,0.73%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,40 - 44,0.57%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,45 - 49,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,50 - 54,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,55 - 59,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,60 - 64,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,65 - 69,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,70 - 74,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,75 & ABOVE,0.00%,Student,Sargodha
SARGODHA DISTRICT,Female,Urban,Between 10-14,88.79%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,10 & ABOVE,21.13%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,15 -  19,47.53%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,20 - 24,11.92%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,25 - 29,2.16%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,30 - 34,0.56%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,35 - 39,0.27%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,40 - 44,0.19%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,45 - 49,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,50 - 54,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,55 - 59,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,60 - 64,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,65 - 69,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,70 - 74,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,75 & ABOVE,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Rural,Between 10-14,82.06%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,10 & ABOVE,25.64%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,15 -  19,62.77%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,20 - 24,27.08%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,25 - 29,5.61%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,30 - 34,1.13%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,35 - 39,0.51%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,40 - 44,0.26%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,45 - 49,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,50 - 54,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,55 - 59,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,60 - 64,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,65 - 69,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,70 - 74,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,75 & ABOVE,0.00%,Student,Sargodha
SARGODHA DISTRICT,Male,Urban,Between 10-14,88.09%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,10 & ABOVE,3.06%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,15 -  19,20.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,20 - 24,14.81%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,25 - 29,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,30 - 34,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,35 - 39,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,40 - 44,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,45 - 49,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,50 - 54,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,55 - 59,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,60 - 64,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,65 - 69,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,70 - 74,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,75 & ABOVE,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,10 & ABOVE,3.67%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,15 -  19,9.09%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,20 - 24,8.70%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,25 - 29,5.13%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,30 - 34,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,35 - 39,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,40 - 44,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,45 - 49,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,50 - 54,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,55 - 59,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,60 - 64,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,65 - 69,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,70 - 74,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,75 & ABOVE,0.00%,Student,Sargodha
SARGODHA DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,Student,Sargodha
SHEIKHUPURA DISTRICT,Female,Rural,10 & ABOVE,22.26%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,15 -  19,46.12%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,20 - 24,13.60%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,25 - 29,3.12%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,30 - 34,1.09%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,35 - 39,0.77%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,40 - 44,0.53%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,45 - 49,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,50 - 54,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,55 - 59,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,60 - 64,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,65 - 69,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,70 - 74,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,75 & ABOVE,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Rural,Between 10-14,79.62%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,10 & ABOVE,25.92%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,15 -  19,61.95%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,20 - 24,23.01%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,25 - 29,5.01%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,30 - 34,1.40%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,35 - 39,0.93%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,40 - 44,0.67%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,45 - 49,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,50 - 54,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,55 - 59,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,60 - 64,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,65 - 69,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,70 - 74,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,75 & ABOVE,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Female,Urban,Between 10-14,87.45%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,10 & ABOVE,21.64%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,15 -  19,45.24%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,20 - 24,12.65%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,25 - 29,2.81%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,30 - 34,0.79%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,35 - 39,0.43%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,40 - 44,0.23%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,45 - 49,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,50 - 54,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,55 - 59,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,60 - 64,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,65 - 69,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,70 - 74,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,75 & ABOVE,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Rural,Between 10-14,79.80%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,10 & ABOVE,24.32%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,15 -  19,55.99%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,20 - 24,20.65%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,25 - 29,5.06%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,30 - 34,1.09%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,35 - 39,0.46%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,40 - 44,0.29%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,45 - 49,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,50 - 54,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,55 - 59,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,60 - 64,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,65 - 69,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,70 - 74,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,75 & ABOVE,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Male,Urban,Between 10-14,85.28%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,10 & ABOVE,4.85%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,15 -  19,31.82%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,20 - 24,3.70%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,25 - 29,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,30 - 34,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,35 - 39,7.41%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,40 - 44,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,45 - 49,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,50 - 54,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,55 - 59,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,60 - 64,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,65 - 69,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,70 - 74,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,75 & ABOVE,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,10 & ABOVE,4.62%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,15 -  19,27.78%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,20 - 24,4.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,25 - 29,6.90%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,30 - 34,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,35 - 39,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,40 - 44,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,45 - 49,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,50 - 54,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,55 - 59,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,60 - 64,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,65 - 69,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,70 - 74,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,75 & ABOVE,0.00%,Student,Sheikhupura
SHEIKHUPURA DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,Student,Sheikhupura
SIALKOT DISTRICT,Female,Rural,10 & ABOVE,26.77%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,15 -  19,64.45%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,20 - 24,20.64%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,25 - 29,4.17%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,30 - 34,1.04%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,35 - 39,0.72%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,40 - 44,0.51%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,45 - 49,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,50 - 54,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,55 - 59,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,60 - 64,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,65 - 69,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,70 - 74,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,75 & ABOVE,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Rural,Between 10-14,92.07%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,10 & ABOVE,27.66%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,15 -  19,75.52%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,20 - 24,30.41%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,25 - 29,5.48%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,30 - 34,1.45%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,35 - 39,0.63%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,40 - 44,0.47%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,45 - 49,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,50 - 54,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,55 - 59,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,60 - 64,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,65 - 69,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,70 - 74,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,75 & ABOVE,0.00%,Student,Sialkot
SIALKOT DISTRICT,Female,Urban,Between 10-14,92.89%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,10 & ABOVE,25.92%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,15 -  19,52.54%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,20 - 24,15.51%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,25 - 29,3.20%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,30 - 34,0.81%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,35 - 39,0.40%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,40 - 44,0.29%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,45 - 49,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,50 - 54,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,55 - 59,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,60 - 64,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,65 - 69,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,70 - 74,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,75 & ABOVE,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Rural,Between 10-14,89.33%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,10 & ABOVE,25.40%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,15 -  19,63.77%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,20 - 24,22.73%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,25 - 29,4.31%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,30 - 34,0.97%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,35 - 39,0.43%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,40 - 44,0.32%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,45 - 49,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,50 - 54,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,55 - 59,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,60 - 64,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,65 - 69,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,70 - 74,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,75 & ABOVE,0.00%,Student,Sialkot
SIALKOT DISTRICT,Male,Urban,Between 10-14,91.06%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,10 & ABOVE,4.64%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,15 -  19,41.18%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,20 - 24,2.08%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,25 - 29,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,30 - 34,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,35 - 39,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,40 - 44,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,45 - 49,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,50 - 54,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,55 - 59,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,60 - 64,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,65 - 69,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,70 - 74,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,75 & ABOVE,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Rural,Between 10-14,#DIV/0!,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,10 & ABOVE,6.82%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,15 -  19,33.33%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,20 - 24,21.74%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,25 - 29,4.76%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,30 - 34,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,35 - 39,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,40 - 44,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,45 - 49,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,50 - 54,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,55 - 59,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,60 - 64,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,65 - 69,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,70 - 74,#DIV/0!,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,75 & ABOVE,0.00%,Student,Sialkot
SIALKOT DISTRICT,Transgender,Urban,Between 10-14,#DIV/0!,Student,Sialkot
TOBA TEK SINGH DISTRICT,Female,Rural,10 & ABOVE,19.39%,Student,Toba Tek Singh
TOBA TEK SINGH DISTRICT,Female,Rural,15 -  19,44.36%,Student,Toba Tek Singh
